VID,SSN,SKILL
1070,15451035,SKILL 26
1071,15451036,SKILL 27
1072,15451037,SKILL 28
1073,15451038,SKILL 29
1074,15451039,SKILL 1
1075,15451040,SKILL 2
1076,15451041,SKILL 3
1077,15451042,SKILL 4
1078,15451043,SKILL 5
1079,15451044,SKILL 6
1080,15451045,SKILL 7
1081,15451046,SKILL 8
1082,15451047,SKILL 9
1083,15451048,SKILL 10
1084,15451049,SKILL 11
1085,15451050,SKILL 12
1086,15451051,SKILL 13
1087,15451052,SKILL 14
1088,15451053,SKILL 15
1089,15451054,SKILL 16
1090,15451055,SKILL 17
1091,15451056,SKILL 18
1092,15451057,SKILL 19
1093,15451058,SKILL 20
1094,15451059,SKILL 21
1095,15451060,SKILL 22
1096,15451061,SKILL 23
1097,15451062,SKILL 24
1098,15451063,SKILL 25
1099,15451064,SKILL 26
1100,15451065,SKILL 27
1101,15451066,SKILL 28
1102,15451067,SKILL 29
1103,15451068,SKILL 1
1104,15451069,SKILL 2
1105,15451070,SKILL 3
1106,15451071,SKILL 4
1107,15451072,SKILL 5
1108,15451073,SKILL 6
1109,15451074,SKILL 7
1110,15451075,SKILL 8
1111,15451076,SKILL 9
1112,15451077,SKILL 10
1113,15451078,SKILL 11
1114,15451079,SKILL 12
1115,15451080,SKILL 13
1116,15451081,SKILL 14
1117,15451082,SKILL 15
1118,15451083,SKILL 16
1119,15451084,SKILL 17
1120,15451085,SKILL 18
1121,15451086,SKILL 19
1122,15451087,SKILL 20
1123,15451088,SKILL 21
1124,15451089,SKILL 22
1125,15451090,SKILL 23
1126,15451091,SKILL 24
1127,15451092,SKILL 25
1128,15451093,SKILL 26
1129,15451094,SKILL 27
1130,15451095,SKILL 28
1131,15451096,SKILL 29
1132,15451097,SKILL 1
1133,15451098,SKILL 2
1134,15451099,SKILL 3
1135,15451100,SKILL 4
1136,15451101,SKILL 5
1137,15451102,SKILL 6
1138,15451103,SKILL 7
1139,15451104,SKILL 8
1140,15451105,SKILL 9
1141,15451106,SKILL 10
1142,15451107,SKILL 11
1143,15451108,SKILL 12
1144,15451109,SKILL 13
1145,15451110,SKILL 14
1146,15451111,SKILL 15
1147,15451112,SKILL 16
1148,15451113,SKILL 17
1149,15451114,SKILL 18
1150,15451115,SKILL 19
1151,15451116,SKILL 20
1152,15451117,SKILL 21
1153,15451118,SKILL 22
1154,15451119,SKILL 23
1155,15451120,SKILL 24
1156,15451121,SKILL 25
1157,15451122,SKILL 26
1158,15451123,SKILL 27
1159,15451124,SKILL 28
1160,15451125,SKILL 29
1161,15451126,SKILL 1
1162,15451127,SKILL 2
1163,15451128,SKILL 3
1164,15451129,SKILL 4
1165,15451130,SKILL 5
1166,15451131,SKILL 6
1167,15451132,SKILL 7
1168,15451133,SKILL 8
1169,15451134,SKILL 9
1170,15451135,SKILL 10
1171,15451136,SKILL 11
1172,15451137,SKILL 12
1173,15451138,SKILL 13
1174,15451139,SKILL 14
1175,15451140,SKILL 15
1176,15451141,SKILL 16
1177,15451142,SKILL 17
1178,15451143,SKILL 18
1179,15451144,SKILL 19
1180,15451145,SKILL 20
1181,15451146,SKILL 21
1182,15451147,SKILL 22
1183,15451148,SKILL 23
1184,15451149,SKILL 24
1185,15451150,SKILL 25
1186,15451151,SKILL 26
1187,15451152,SKILL 27
1188,15451153,SKILL 28
1189,15451154,SKILL 29
1190,15451155,SKILL 1
1191,15451156,SKILL 2
1192,15451157,SKILL 3
1193,15451158,SKILL 4
1194,15451159,SKILL 5
1195,15451160,SKILL 6
1196,15451161,SKILL 7
1197,15451162,SKILL 8
1198,15451163,SKILL 9
1199,15451164,SKILL 10
1200,15451165,SKILL 11
1201,15451166,SKILL 12
1202,15451167,SKILL 13
1203,15451168,SKILL 14
1204,15451169,SKILL 15
1205,15451170,SKILL 16
1206,15451171,SKILL 17
1207,15451172,SKILL 18
1208,15451173,SKILL 19
1209,15451174,SKILL 20
1210,15451175,SKILL 21
1211,15451176,SKILL 22
1212,15451177,SKILL 23
1213,15451178,SKILL 24
1214,15451179,SKILL 25
1215,15451180,SKILL 26
1216,15451181,SKILL 27
1217,15451182,SKILL 28
1218,15451183,SKILL 29
1219,15451184,SKILL 1
1220,15451185,SKILL 2
1221,15451186,SKILL 3
1222,15451187,SKILL 4
1223,15451188,SKILL 5
1224,15451189,SKILL 6
1225,15451190,SKILL 7
1226,15451191,SKILL 8
1227,15451192,SKILL 9
1228,15451193,SKILL 10
1229,15451194,SKILL 11
1230,15451195,SKILL 12
1231,15451196,SKILL 13
1232,15451197,SKILL 14
1233,15451198,SKILL 15
1234,15451199,SKILL 16
1235,15451200,SKILL 17
1236,15451201,SKILL 18
1237,15451202,SKILL 19
1238,15451203,SKILL 20
1239,15451204,SKILL 21
1240,15451205,SKILL 22
1241,15451206,SKILL 23
1242,15451207,SKILL 24
1243,15451208,SKILL 25
1244,15451209,SKILL 26
1245,15451210,SKILL 27
1246,15451211,SKILL 28
1247,15451212,SKILL 29
1248,15451213,SKILL 1
1249,15451214,SKILL 2
1250,15451215,SKILL 3
1251,15451216,SKILL 4
1252,15451217,SKILL 5
1253,15451218,SKILL 6
1254,15451219,SKILL 7
1255,15451220,SKILL 8
1256,15451221,SKILL 9
1257,15451222,SKILL 10
1258,15451223,SKILL 11
1259,15451224,SKILL 12
1260,15451225,SKILL 13
1261,15451226,SKILL 14
1262,15451227,SKILL 15
1263,15451228,SKILL 16
1264,15451229,SKILL 17
1265,15451230,SKILL 18
1266,15451231,SKILL 19
1267,15451232,SKILL 20
1268,15451233,SKILL 21
1269,15451234,SKILL 22
1270,15451235,SKILL 23
1271,15451236,SKILL 24
1272,15451237,SKILL 25
1273,15451238,SKILL 26
1274,15451239,SKILL 27
1275,15451240,SKILL 28
1276,15451241,SKILL 29
1277,15451242,SKILL 1
1278,15451243,SKILL 2
1279,15451244,SKILL 3
1280,15451245,SKILL 4
1281,15451246,SKILL 5
1282,15451247,SKILL 6
1283,15451248,SKILL 7
1284,15451249,SKILL 8
1285,15451250,SKILL 9
1286,15451251,SKILL 10
1287,15451252,SKILL 11
1288,15451253,SKILL 12
1289,15451254,SKILL 13
1290,15451255,SKILL 14
1291,15451256,SKILL 15
1292,15451257,SKILL 16
1293,15451258,SKILL 17
1294,15451259,SKILL 18
1295,15451260,SKILL 19
1296,15451261,SKILL 20
1297,15451262,SKILL 21
1298,15451263,SKILL 22
1299,15451264,SKILL 23
1300,15451265,SKILL 24
1301,15451266,SKILL 25
1302,15451267,SKILL 26
1303,15451268,SKILL 27
1304,15451269,SKILL 28
1305,15451270,SKILL 29
1306,15451271,SKILL 1
1307,15451272,SKILL 2
1308,15451273,SKILL 3
1309,15451274,SKILL 4
1310,15451275,SKILL 5
1311,15451276,SKILL 6
1312,15451277,SKILL 7
1313,15451278,SKILL 8
1314,15451279,SKILL 9
1315,15451280,SKILL 10
1316,15451281,SKILL 11
1317,15451282,SKILL 12
1318,15451283,SKILL 13
1319,15451284,SKILL 14
1320,15451285,SKILL 15
1321,15451286,SKILL 16
1322,15451287,SKILL 17
1323,15451288,SKILL 18
1324,15451289,SKILL 19
1325,15451290,SKILL 20
1326,15451291,SKILL 21
1327,15451292,SKILL 22
1328,15451293,SKILL 23
1329,15451294,SKILL 24
1330,15451295,SKILL 25
1331,15451296,SKILL 26
1332,15451297,SKILL 27
1333,15451298,SKILL 28
1334,15451299,SKILL 29
1335,15451300,SKILL 1
1336,15451301,SKILL 2
1337,15451302,SKILL 3
1338,15451303,SKILL 4
1339,15451304,SKILL 5
1340,15451305,SKILL 6
1341,15451306,SKILL 7
1342,15451307,SKILL 8
1343,15451308,SKILL 9
1344,15451309,SKILL 10
1345,15451310,SKILL 11
1346,15451311,SKILL 12
1347,15451312,SKILL 13
1348,15451313,SKILL 14
1349,15451314,SKILL 15
1350,15451315,SKILL 16
1351,15451316,SKILL 17
1352,15451317,SKILL 18
1353,15451318,SKILL 19
1354,15451319,SKILL 20
1355,15451320,SKILL 21
1356,15451321,SKILL 22
1357,15451322,SKILL 23
1358,15451323,SKILL 24
1359,15451324,SKILL 25
1360,15451325,SKILL 26
1361,15451326,SKILL 27
1362,15451327,SKILL 28
1363,15451328,SKILL 29
1364,15451329,SKILL 1
1365,15451330,SKILL 2
1366,15451331,SKILL 3
1367,15451332,SKILL 4
1368,15451333,SKILL 5
1369,15451334,SKILL 6
1370,15451335,SKILL 7
1371,15451336,SKILL 8
1372,15451337,SKILL 9
1373,15451338,SKILL 10
1374,15451339,SKILL 11
1375,15451340,SKILL 12
1376,15451341,SKILL 13
1377,15451342,SKILL 14
1378,15451343,SKILL 15
1379,15451344,SKILL 16
1380,15451345,SKILL 17
1381,15451346,SKILL 18
1382,15451347,SKILL 19
1383,15451348,SKILL 20
1384,15451349,SKILL 21
1385,15451350,SKILL 22
1386,15451351,SKILL 23
1387,15451352,SKILL 24
1388,15451353,SKILL 25
1389,15451354,SKILL 26
1390,15451355,SKILL 27
1391,15451356,SKILL 28
1392,15451357,SKILL 29
1393,15451358,SKILL 1
1394,15451359,SKILL 2
1395,15451360,SKILL 3
1396,15451361,SKILL 4
1397,15451362,SKILL 5
1398,15451363,SKILL 6
1399,15451364,SKILL 7
1400,15451365,SKILL 8
1401,15451366,SKILL 9
1402,15451367,SKILL 10
1403,15451368,SKILL 11
1404,15451369,SKILL 12
1405,15451370,SKILL 13
1406,15451371,SKILL 14
1407,15451372,SKILL 15
1408,15451373,SKILL 16
1409,15451374,SKILL 17
1410,15451375,SKILL 18
1411,15451376,SKILL 19
1412,15451377,SKILL 20
1413,15451378,SKILL 21
1414,15451379,SKILL 22
1415,15451380,SKILL 23
1416,15451381,SKILL 24
1417,15451382,SKILL 25
1418,15451383,SKILL 26
1419,15451384,SKILL 27
1420,15451385,SKILL 28
1421,15451386,SKILL 29
1422,15451387,SKILL 1
1423,15451388,SKILL 2
1424,15451389,SKILL 3
1425,15451390,SKILL 4
1426,15451391,SKILL 5
1427,15451392,SKILL 6
1428,15451393,SKILL 7
1429,15451394,SKILL 8
1430,15451395,SKILL 9
1431,15451396,SKILL 10
1432,15451397,SKILL 11
1433,15451398,SKILL 12
1434,15451399,SKILL 13
1435,15451400,SKILL 14
1436,15451401,SKILL 15
1437,15451402,SKILL 16
1438,15451403,SKILL 17
1439,15451404,SKILL 18
1440,15451405,SKILL 19
1441,15451406,SKILL 20
1442,15451407,SKILL 21
1443,15451408,SKILL 22
1444,15451409,SKILL 23
1445,15451410,SKILL 24
1446,15451411,SKILL 25
1447,15451412,SKILL 26
1448,15451413,SKILL 27
1449,15451414,SKILL 28
1450,15451415,SKILL 29
1451,15451416,SKILL 1
1452,15451417,SKILL 2
1453,15451418,SKILL 3
1454,15451419,SKILL 4
1455,15451420,SKILL 5
1456,15451421,SKILL 6
1457,15451422,SKILL 7
1458,15451423,SKILL 8
1459,15451424,SKILL 9
1460,15451425,SKILL 10
1461,15451426,SKILL 11
1462,15451427,SKILL 12
1463,15451428,SKILL 13
1464,15451429,SKILL 14
1465,15451430,SKILL 15
1466,15451431,SKILL 16
1467,15451432,SKILL 17
1468,15451433,SKILL 18
1469,15451434,SKILL 19
1470,15451435,SKILL 20
1471,15451436,SKILL 21
1472,15451437,SKILL 22
1473,15451438,SKILL 23
1474,15451439,SKILL 24
1475,15451440,SKILL 25
1476,15451441,SKILL 26
1477,15451442,SKILL 27
1478,15451443,SKILL 28
1479,15451444,SKILL 29
1480,15451445,SKILL 1
1481,15451446,SKILL 2
1482,15451447,SKILL 3
1483,15451448,SKILL 4
1484,15451449,SKILL 5
1485,15451450,SKILL 6
1486,15451451,SKILL 7
1487,15451452,SKILL 8
1488,15451453,SKILL 9
1489,15451454,SKILL 10
1490,15451455,SKILL 11
1491,15451456,SKILL 12
1492,15451457,SKILL 13
1493,15451458,SKILL 14
1494,15451459,SKILL 15
1495,15451460,SKILL 16
1496,15451461,SKILL 17
1497,15451462,SKILL 18
1498,15451463,SKILL 19
1499,15451464,SKILL 20
1500,15451465,SKILL 21
1501,15451466,SKILL 22
1502,15451467,SKILL 23
1503,15451468,SKILL 24
1504,15451469,SKILL 25
1505,15451470,SKILL 26
1506,15451471,SKILL 27
1507,15451472,SKILL 28
1508,15451473,SKILL 29
1509,15451474,SKILL 1
1510,15451475,SKILL 2
1511,15451476,SKILL 3
1512,15451477,SKILL 4
1513,15451478,SKILL 5
1514,15451479,SKILL 6
1515,15451480,SKILL 7
1516,15451481,SKILL 8
1517,15451482,SKILL 9
1518,15451483,SKILL 10
1519,15451484,SKILL 11
1520,15451485,SKILL 12
1521,15451486,SKILL 13
1522,15451487,SKILL 14
1523,15451488,SKILL 15
1524,15451489,SKILL 16
1525,15451490,SKILL 17
1526,15451491,SKILL 18
1527,15451492,SKILL 19
1528,15451493,SKILL 20
1529,15451494,SKILL 21
1530,15451495,SKILL 22
1531,15451496,SKILL 23
1532,15451497,SKILL 24
1533,15451498,SKILL 25
1534,15451499,SKILL 26
1535,15451500,SKILL 27
1536,15451501,SKILL 28
1537,15451502,SKILL 29
1538,15451503,SKILL 1
1539,15451504,SKILL 2
1540,15451505,SKILL 3
1541,15451506,SKILL 4
1542,15451507,SKILL 5
1543,15451508,SKILL 6
1544,15451509,SKILL 7
1545,15451510,SKILL 8
1546,15451511,SKILL 9
1547,15451512,SKILL 10
1548,15451513,SKILL 11
1549,15451514,SKILL 12
1550,15451515,SKILL 13
1551,15451516,SKILL 14
1552,15451517,SKILL 15
1553,15451518,SKILL 16
1554,15451519,SKILL 17
1555,15451520,SKILL 18
1556,15451521,SKILL 19
1557,15451522,SKILL 20
1558,15451523,SKILL 21
1559,15451524,SKILL 22
1560,15451525,SKILL 23
1561,15451526,SKILL 24
1562,15451527,SKILL 25
1563,15451528,SKILL 26
1564,15451529,SKILL 27
1565,15451530,SKILL 28
1566,15451531,SKILL 29
1567,15451532,SKILL 1
1568,15451533,SKILL 2
1569,15451534,SKILL 3
1570,15451535,SKILL 4
1571,15451536,SKILL 5
1572,15451537,SKILL 6
1573,15451538,SKILL 7
1574,15451539,SKILL 8
1575,15451540,SKILL 9
1576,15451541,SKILL 10
1577,15451542,SKILL 11
1578,15451543,SKILL 12
1579,15451544,SKILL 13
1580,15451545,SKILL 14
1581,15451546,SKILL 15
1582,15451547,SKILL 16
1583,15451548,SKILL 17
1584,15451549,SKILL 18
1585,15451550,SKILL 19
1586,15451551,SKILL 20
1587,15451552,SKILL 21
1588,15451553,SKILL 22
1589,15451554,SKILL 23
1590,15451555,SKILL 24
1591,15451556,SKILL 25
1592,15451557,SKILL 26
1593,15451558,SKILL 27
1594,15451559,SKILL 28
1595,15451560,SKILL 29
1596,15451561,SKILL 1
1597,15451562,SKILL 2
1598,15451563,SKILL 3
1599,15451564,SKILL 4
1600,15451565,SKILL 5
1601,15451566,SKILL 6
1602,15451567,SKILL 7
1603,15451568,SKILL 8
1604,15451569,SKILL 9
1605,15451570,SKILL 10
1606,15451571,SKILL 11
1607,15451572,SKILL 12
1608,15451573,SKILL 13
1609,15451574,SKILL 14
1610,15451575,SKILL 15
1611,15451576,SKILL 16
1612,15451577,SKILL 17
1613,15451578,SKILL 18
1614,15451579,SKILL 19
1615,15451580,SKILL 20
1616,15451581,SKILL 21
1617,15451582,SKILL 22
1618,15451583,SKILL 23
1619,15451584,SKILL 24
1620,15451585,SKILL 25
1621,15451586,SKILL 26
1622,15451587,SKILL 27
1623,15451588,SKILL 28
1624,15451589,SKILL 29
1625,15451590,SKILL 1
1626,15451591,SKILL 2
1627,15451592,SKILL 3
1628,15451593,SKILL 4
1629,15451594,SKILL 5
1630,15451595,SKILL 6
1631,15451596,SKILL 7
1632,15451597,SKILL 8
1633,15451598,SKILL 9
1634,15451599,SKILL 10
1635,15451600,SKILL 11
1636,15451601,SKILL 12
1637,15451602,SKILL 13
1638,15451603,SKILL 14
1639,15451604,SKILL 15
1640,15451605,SKILL 16
1641,15451606,SKILL 17
1642,15451607,SKILL 18
1643,15451608,SKILL 19
1644,15451609,SKILL 20
1645,15451610,SKILL 21
1646,15451611,SKILL 22
1647,15451612,SKILL 23
1648,15451613,SKILL 24
1649,15451614,SKILL 25
1650,15451615,SKILL 26
1651,15451616,SKILL 27
1652,15451617,SKILL 28
1653,15451618,SKILL 29
1654,15451619,SKILL 1
1655,15451620,SKILL 2
1656,15451621,SKILL 3
1657,15451622,SKILL 4
1658,15451623,SKILL 5
1659,15451624,SKILL 6
1660,15451625,SKILL 7
1661,15451626,SKILL 8
1662,15451627,SKILL 9
1663,15451628,SKILL 10
1664,15451629,SKILL 11
1665,15451630,SKILL 12
1666,15451631,SKILL 13
1667,15451632,SKILL 14
1668,15451633,SKILL 15
1669,15451634,SKILL 16
1670,15451635,SKILL 17
1671,15451636,SKILL 18
1672,15451637,SKILL 19
1673,15451638,SKILL 20
1674,15451639,SKILL 21
1675,15451640,SKILL 22
1676,15451641,SKILL 23
1677,15451642,SKILL 24
1678,15451643,SKILL 25
1679,15451644,SKILL 26
1680,15451645,SKILL 27
1681,15451646,SKILL 28
1682,15451647,SKILL 29
1683,15451648,SKILL 1
1684,15451649,SKILL 2
1685,15451650,SKILL 3
1686,15451651,SKILL 4
1687,15451652,SKILL 5
1688,15451653,SKILL 6
1689,15451654,SKILL 7
1690,15451655,SKILL 8
1691,15451656,SKILL 9
1692,15451657,SKILL 10
1693,15451658,SKILL 11
1694,15451659,SKILL 12
1695,15451660,SKILL 13
1696,15451661,SKILL 14
1697,15451662,SKILL 15
1698,15451663,SKILL 16
1699,15451664,SKILL 17
1700,15451665,SKILL 18
1701,15451666,SKILL 19
1702,15451667,SKILL 20
1703,15451668,SKILL 21
1704,15451669,SKILL 22
1705,15451670,SKILL 23
1706,15451671,SKILL 24
1707,15451672,SKILL 25
1708,15451673,SKILL 26
1709,15451674,SKILL 27
1710,15451675,SKILL 28
1711,15451676,SKILL 29
1712,15451677,SKILL 1
1713,15451678,SKILL 2
1714,15451679,SKILL 3
1715,15451680,SKILL 4
1716,15451681,SKILL 5
1717,15451682,SKILL 6
1718,15451683,SKILL 7
1719,15451684,SKILL 8
1720,15451685,SKILL 9
1721,15451686,SKILL 10
1722,15451687,SKILL 11
1723,15451688,SKILL 12
1724,15451689,SKILL 13
1725,15451690,SKILL 14
1726,15451691,SKILL 15
1727,15451692,SKILL 16
1728,15451693,SKILL 17
1729,15451694,SKILL 18
1730,15451695,SKILL 19
1731,15451696,SKILL 20
1732,15451697,SKILL 21
1733,15451698,SKILL 22
1734,15451699,SKILL 23
1735,15451700,SKILL 24
1736,15451701,SKILL 25
1737,15451702,SKILL 26
1738,15451703,SKILL 27
1739,15451704,SKILL 28
1740,15451705,SKILL 29
1741,15451706,SKILL 1
1742,15451707,SKILL 2
1743,15451708,SKILL 3
1744,15451709,SKILL 4
1745,15451710,SKILL 5
1746,15451711,SKILL 6
1747,15451712,SKILL 7
1748,15451713,SKILL 8
1749,15451714,SKILL 9
1750,15451715,SKILL 10
1751,15451716,SKILL 11
1752,15451717,SKILL 12
1753,15451718,SKILL 13
1754,15451719,SKILL 14
1755,15451720,SKILL 15
1756,15451721,SKILL 16
1757,15451722,SKILL 17
1758,15451723,SKILL 18
1759,15451724,SKILL 19
1760,15451725,SKILL 20
1761,15451726,SKILL 21
1762,15451727,SKILL 22
1763,15451728,SKILL 23
1764,15451729,SKILL 24
1765,15451730,SKILL 25
1766,15451731,SKILL 26
1767,15451732,SKILL 27
1768,15451733,SKILL 28
1769,15451734,SKILL 29
1770,15451735,SKILL 1
1771,15451736,SKILL 2
1772,15451737,SKILL 3
1773,15451738,SKILL 4
1774,15451739,SKILL 5
1775,15451740,SKILL 6
1776,15451741,SKILL 7
1777,15451742,SKILL 8
1778,15451743,SKILL 9
1779,15451744,SKILL 10
1780,15451745,SKILL 11
1781,15451746,SKILL 12
1782,15451747,SKILL 13
1783,15451748,SKILL 14
1784,15451749,SKILL 15
1785,15451750,SKILL 16
1786,15451751,SKILL 17
1787,15451752,SKILL 18
1788,15451753,SKILL 19
1789,15451754,SKILL 20
1790,15451755,SKILL 21
1791,15451756,SKILL 22
1792,15451757,SKILL 23
1793,15451758,SKILL 24
1794,15451759,SKILL 25
1795,15451760,SKILL 26
1796,15451761,SKILL 27
1797,15451762,SKILL 28
1798,15451763,SKILL 29
1799,15451764,SKILL 1
1800,15451765,SKILL 2
1801,15451766,SKILL 3
1802,15451767,SKILL 4
1803,15451768,SKILL 5
1804,15451769,SKILL 6
1805,15451770,SKILL 7
1806,15451771,SKILL 8
1807,15451772,SKILL 9
1808,15451773,SKILL 10
1809,15451774,SKILL 11
1810,15451775,SKILL 12
1811,15451776,SKILL 13
1812,15451777,SKILL 14
1813,15451778,SKILL 15
1814,15451779,SKILL 16
1815,15451780,SKILL 17
1816,15451781,SKILL 18
1817,15451782,SKILL 19
1818,15451783,SKILL 20
1819,15451784,SKILL 21
1820,15451785,SKILL 22
1821,15451786,SKILL 23
1822,15451787,SKILL 24
1823,15451788,SKILL 25
1824,15451789,SKILL 26
1825,15451790,SKILL 27
1826,15451791,SKILL 28
1827,15451792,SKILL 29
1828,15451793,SKILL 1
1829,15451794,SKILL 2
1830,15451795,SKILL 3
1831,15451796,SKILL 4
1832,15451797,SKILL 5
1833,15451798,SKILL 6
1834,15451799,SKILL 7
1835,15451800,SKILL 8
1836,15451801,SKILL 9
1837,15451802,SKILL 10
1838,15451803,SKILL 11
1839,15451804,SKILL 12
1840,15451805,SKILL 13
1841,15451806,SKILL 14
1842,15451807,SKILL 15
1843,15451808,SKILL 16
1844,15451809,SKILL 17
1845,15451810,SKILL 18
1846,15451811,SKILL 19
1847,15451812,SKILL 20
1848,15451813,SKILL 21
1849,15451814,SKILL 22
1850,15451815,SKILL 23
1851,15451816,SKILL 24
1852,15451817,SKILL 25
1853,15451818,SKILL 26
1854,15451819,SKILL 27
1855,15451820,SKILL 28
1856,15451821,SKILL 29
1857,15451822,SKILL 1
1858,15451823,SKILL 2
1859,15451824,SKILL 3
1860,15451825,SKILL 4
1861,15451826,SKILL 5
1862,15451827,SKILL 6
1863,15451828,SKILL 7
1864,15451829,SKILL 8
1865,15451830,SKILL 9
1866,15451831,SKILL 10
1867,15451832,SKILL 11
1868,15451833,SKILL 12
1869,15451834,SKILL 13
1870,15451835,SKILL 14
1871,15451836,SKILL 15
1872,15451837,SKILL 16
1873,15451838,SKILL 17
1874,15451839,SKILL 18
1875,15451840,SKILL 19
1876,15451841,SKILL 20
1877,15451842,SKILL 21
1878,15451843,SKILL 22
1879,15451844,SKILL 23
1880,15451845,SKILL 24
1881,15451846,SKILL 25
1882,15451847,SKILL 26
1883,15451848,SKILL 27
1884,15451849,SKILL 28
1885,15451850,SKILL 29
1886,15451851,SKILL 1
1887,15451852,SKILL 2
1888,15451853,SKILL 3
1889,15451854,SKILL 4
1890,15451855,SKILL 5
1891,15451856,SKILL 6
1892,15451857,SKILL 7
1893,15451858,SKILL 8
1894,15451859,SKILL 9
1895,15451860,SKILL 10
1896,15451861,SKILL 11
1897,15451862,SKILL 12
1898,15451863,SKILL 13
1899,15451864,SKILL 14
1900,15451865,SKILL 15
1901,15451866,SKILL 16
1902,15451867,SKILL 17
1903,15451868,SKILL 18
1904,15451869,SKILL 19
1905,15451870,SKILL 20
1906,15451871,SKILL 21
1907,15451872,SKILL 22
1908,15451873,SKILL 23
1909,15451874,SKILL 24
1910,15451875,SKILL 25
1911,15451876,SKILL 26
1912,15451877,SKILL 27
1913,15451878,SKILL 28
1914,15451879,SKILL 29
1915,15451880,SKILL 1
1916,15451881,SKILL 2
1917,15451882,SKILL 3
1918,15451883,SKILL 4
1919,15451884,SKILL 5
1920,15451885,SKILL 6
1921,15451886,SKILL 7
1922,15451887,SKILL 8
1923,15451888,SKILL 9
1924,15451889,SKILL 10
1925,15451890,SKILL 11
1926,15451891,SKILL 12
1927,15451892,SKILL 13
1928,15451893,SKILL 14
1929,15451894,SKILL 15
1930,15451895,SKILL 16
1931,15451896,SKILL 17
1932,15451897,SKILL 18
1933,15451898,SKILL 19
1934,15451899,SKILL 20
1935,15451900,SKILL 21
1936,15451901,SKILL 22
1937,15451902,SKILL 23
1938,15451903,SKILL 24
1939,15451904,SKILL 25
1940,15451905,SKILL 26
1941,15451906,SKILL 27
1942,15451907,SKILL 28
1943,15451908,SKILL 29
1944,15451909,SKILL 1
1945,15451910,SKILL 2
1946,15451911,SKILL 3
1947,15451912,SKILL 4
1948,15451913,SKILL 5
1949,15451914,SKILL 6
1950,15451915,SKILL 7
1951,15451916,SKILL 8
1952,15451917,SKILL 9
1953,15451918,SKILL 10
1954,15451919,SKILL 11
1955,15451920,SKILL 12
1956,15451921,SKILL 13
1957,15451922,SKILL 14
1958,15451923,SKILL 15
1959,15451924,SKILL 16
1960,15451925,SKILL 17
1961,15451926,SKILL 18
1962,15451927,SKILL 19
1963,15451928,SKILL 20
1964,15451929,SKILL 21
1965,15451930,SKILL 22
1966,15451931,SKILL 23
1967,15451932,SKILL 24
1968,15451933,SKILL 25
1969,15451934,SKILL 26
1970,15451935,SKILL 27
1971,15451936,SKILL 28
1972,15451937,SKILL 29
1973,15451938,SKILL 1
1974,15451939,SKILL 2
1975,15451940,SKILL 3
1976,15451941,SKILL 4
1977,15451942,SKILL 5
1978,15451943,SKILL 6
1979,15451944,SKILL 7
1980,15451945,SKILL 8
1981,15451946,SKILL 9
1982,15451947,SKILL 10
1983,15451948,SKILL 11
1984,15451949,SKILL 12
1985,15451950,SKILL 13
1986,15451951,SKILL 14
1987,15451952,SKILL 15
1988,15451953,SKILL 16
1989,15451954,SKILL 17
1990,15451955,SKILL 18
1991,15451956,SKILL 19
1992,15451957,SKILL 20
1993,15451958,SKILL 21
1994,15451959,SKILL 22
1995,15451960,SKILL 23
1996,15451961,SKILL 24
1997,15451962,SKILL 25
1998,15451963,SKILL 26
1999,15451964,SKILL 27
2000,15451965,SKILL 28
2001,15451966,SKILL 29
2002,15451967,SKILL 1
2003,15451968,SKILL 2
2004,15451969,SKILL 3
2005,15451970,SKILL 4
2006,15451971,SKILL 5
2007,15451972,SKILL 6
2008,15451973,SKILL 7
2009,15451974,SKILL 8
2010,15451975,SKILL 9
2011,15451976,SKILL 10
2012,15451977,SKILL 11
2013,15451978,SKILL 12
2014,15451979,SKILL 13
2015,15451980,SKILL 14
2016,15451981,SKILL 15
2017,15451982,SKILL 16
2018,15451983,SKILL 17
2019,15451984,SKILL 18
2020,15451985,SKILL 19
2021,15451986,SKILL 20
2022,15451987,SKILL 21
2023,15451988,SKILL 22
2024,15451989,SKILL 23
2025,15451990,SKILL 24
2026,15451991,SKILL 25
2027,15451992,SKILL 26
2028,15451993,SKILL 27
2029,15451994,SKILL 28
2030,15451995,SKILL 29
2031,15451996,SKILL 1
2032,15451997,SKILL 2
2033,15451998,SKILL 3
2034,15451999,SKILL 4
2035,15452000,SKILL 5
2036,15452001,SKILL 6
2037,15452002,SKILL 7
2038,15452003,SKILL 8
2039,15452004,SKILL 9
2040,15452005,SKILL 10
2041,15452006,SKILL 11
2042,15452007,SKILL 12
2043,15452008,SKILL 13
2044,15452009,SKILL 14
2045,15452010,SKILL 15
2046,15452011,SKILL 16
2047,15452012,SKILL 17
2048,15452013,SKILL 18
2049,15452014,SKILL 19
2050,15452015,SKILL 20
2051,15452016,SKILL 21
2052,15452017,SKILL 22
2053,15452018,SKILL 23
2054,15452019,SKILL 24
2055,15452020,SKILL 25
2056,15452021,SKILL 26
2057,15452022,SKILL 27
2058,15452023,SKILL 28
2059,15452024,SKILL 29
2060,15452025,SKILL 1
2061,15452026,SKILL 2
2062,15452027,SKILL 3
2063,15452028,SKILL 4
2064,15452029,SKILL 5
2065,15452030,SKILL 6
2066,15452031,SKILL 7
2067,15452032,SKILL 8
2068,15452033,SKILL 9
